sentence,adjectives,transparency,polarity,negation,gender,roberta_large_sentence_surprisal,bert_large_cased_sentence_surprisal,xlnet_large_cased_sentence_surprisal,gpt2_large_sentence_surprisal
She is not social. He too is social.,social-aloof,n,pp,y,fm,19.60327911,13.51478672,119.8377533,40.64481735
She is not aloof. He too is aloof.,social-aloof,n,mm,y,fm,13.20566559,9.203168869,184.457962,42.0953331
She is not social. He too is aloof.,social-aloof,n,pm,y,fm,14.89488983,22.10179377,159.3911133,42.66477203
She is not aloof. He too is social.,social-aloof,n,mp,y,fm,19.19433212,27.28331184,154.5886078,45.5156517
He is social. She too is social.,social-unsocial,y,pp,n,mf,3.468406677,7.940619469,126.7701492,35.92500687
He is unsocial. She too is unsocial.,social-unsocial,y,mm,n,mf,4.036476135,6.156811714,144.3166046,39.71259308
He is social. She too is unsocial.,social-unsocial,y,pm,n,mf,16.8742485,18.4815259,131.9299774,43.68476868
He is unsocial. She too is social.,social-unsocial,y,mp,n,mf,13.56682587,20.30431604,139.1325378,43.31628036
He is not social. She too is social.,social-unsocial,y,pp,y,mf,18.42320251,14.85318279,127.4063873,40.12530136
He is not unsocial. She too is unsocial.,social-unsocial,y,mm,y,mf,10.25449753,11.70362663,152.7261963,45.20363998
He is not social. She too is unsocial.,social-unsocial,y,pm,y,mf,10.35289764,26.00101805,137.1024628,42.68563843
He is not unsocial. She too is social.,social-unsocial,y,mp,y,mf,15.92161942,30.7488184,154.7902069,45.40930557
She is social. He too is social.,social-unsocial,y,pp,n,fm,3.555458069,6.850753784,116.5163269,35.50494003
She is unsocial. He too is unsocial.,social-unsocial,y,mm,n,fm,4.53358078,6.560875893,153.5738525,41.07336044
She is social. He too is unsocial.,social-unsocial,y,pm,n,fm,17.08045197,20.42388916,132.2112122,43.49320221
She is unsocial. He too is social.,social-unsocial,y,mp,n,fm,13.50103378,21.45726776,123.6189423,44.57439423
She is not social. He too is social.,social-unsocial,y,pp,y,fm,19.60327911,13.51478672,119.8377533,40.64481735
She is not unsocial. He too is unsocial.,social-unsocial,y,mm,y,fm,11.01096725,11.4062252,153.0488586,46.44558716
She is not social. He too is unsocial.,social-unsocial,y,pm,y,fm,14.45312119,26.09928131,153.9521484,43.30209351
She is not unsocial. He too is social.,social-unsocial,y,mp,y,fm,15.98203278,30.07839441,154.5015106,46.45792389
He is intelligent. She too is intelligent.,intelligent-unintelligent,y,pp,n,mf,3.741054535,7.372322083,125.8909531,31.84998703
He is unintelligent. She too is unintelligent.,intelligent-unintelligent,y,mm,n,mf,4.357097626,5.547135353,195.5394287,36.51562881
He is intelligent. She too is unintelligent.,intelligent-unintelligent,y,pm,n,mf,11.50573349,9.355449677,150.5465393,39.38552094
He is unintelligent. She too is intelligent.,intelligent-unintelligent,y,mp,n,mf,9.831905365,12.45765066,168.9245911,37.11683655
He is not intelligent. She too is intelligent.,intelligent-unintelligent,y,pp,y,mf,22.38018417,14.93198395,125.2916107,36.69110107
He is not unintelligent. She too is unintelligent.,intelligent-unintelligent,y,mm,y,mf,10.58257675,10.86785889,205.6561279,40.96810913
He is not intelligent. She too is unintelligent.,intelligent-unintelligent,y,pm,y,mf,10.59498978,20.94295073,169.5908661,39.95678329
He is not unintelligent. She too is intelligent.,intelligent-unintelligent,y,mp,y,mf,9.474071503,21.68025064,171.6561584,36.67665863
She is intelligent. He too is intelligent.,intelligent-unintelligent,y,pp,n,fm,3.468799591,6.316454887,123.019104,32.10564423
She is unintelligent. He too is unintelligent.,intelligent-unintelligent,y,mm,n,fm,4.833267212,5.411552429,192.4114685,37.6718483
She is intelligent. He too is unintelligent.,intelligent-unintelligent,y,pm,n,fm,11.18999481,9.462033272,159.3812256,39.52297211
She is unintelligent. He too is intelligent.,intelligent-unintelligent,y,mp,n,fm,9.725944519,13.35589409,156.8326416,37.93670654
She is not intelligent. He too is intelligent.,intelligent-unintelligent,y,pp,y,fm,22.48636627,14.17231369,117.0048599,37.09086227
She is not unintelligent. He too is unintelligent.,intelligent-unintelligent,y,mm,y,fm,10.02589417,9.870276451,199.3806763,41.28625488
She is not intelligent. He too is unintelligent.,intelligent-unintelligent,y,pm,y,fm,13.46278763,18.6024518,169.0631866,40.14793777
She is not unintelligent. He too is intelligent.,intelligent-unintelligent,y,mp,y,fm,10.26211166,21.7991395,172.7158508,37.01364136
He is intelligent. She too is intelligent.,intelligent-dumb,n,pp,n,mf,3.741054535,7.372322083,125.8909531,31.84998703
He is dumb. She too is dumb.,intelligent-dumb,n,mm,n,mf,7.383281708,7.87376976,111.1538467,30.56248856
He is intelligent. She too is dumb.,intelligent-dumb,n,pm,n,mf,31.42356873,24.44538975,131.9247437,38.70794296
He is dumb. She too is intelligent.,intelligent-dumb,n,mp,n,mf,29.47215652,29.05127716,132.4066925,37.68477249
He is not intelligent. She too is intelligent.,intelligent-dumb,n,pp,y,mf,22.38018417,14.93198395,125.2916107,36.69110107
He is not dumb. She too is dumb.,intelligent-dumb,n,mm,y,mf,14.91780472,11.31035042,107.4280014,37.00928497
He is not intelligent. She too is dumb.,intelligent-dumb,n,pm,y,mf,23.35163116,27.54447412,140.7162628,38.41487885
He is not dumb. She too is intelligent.,intelligent-dumb,n,mp,y,mf,18.02703476,26.17280817,140.9221039,35.99641037
She is intelligent. He too is intelligent.,intelligent-dumb,n,pp,n,fm,3.468799591,6.316454887,123.019104,32.10564423
She is dumb. He too is dumb.,intelligent-dumb,n,mm,n,fm,8.244346619,6.530928612,101.0806122,30.78611183
She is intelligent. He too is dumb.,intelligent-dumb,n,pm,n,fm,28.15177155,21.40429831,137.1417847,38.4966011
She is dumb. He too is intelligent.,intelligent-dumb,n,mp,n,fm,30.33964539,29.1375432,133.0540771,37.94598389
She is not intelligent. He too is intelligent.,intelligent-dumb,n,pp,y,fm,22.48636627,14.17231369,117.0048599,37.09086227
She is not dumb. He too is dumb.,intelligent-dumb,n,mm,y,fm,15.20412445,9.986539841,102.0358505,36.91596222
She is not intelligent. He too is dumb.,intelligent-dumb,n,pm,y,fm,24.22076035,24.72804546,133.7731476,38.42679977
She is not dumb. He too is intelligent.,intelligent-dumb,n,mp,y,fm,19.58413696,25.72313356,107.1312103,36.60234451
He is clever. She too is clever.,clever-dumb,n,pp,n,mf,4.52658844,8.462133408,122.8771057,31.45664978
He is dumb. She too is dumb.,clever-dumb,n,mm,n,mf,7.383281708,7.87376976,111.1538467,30.56248856
He is clever. She too is dumb.,clever-dumb,n,pm,n,mf,31.03411102,23.79104376,137.1977692,38.21763611
He is dumb. She too is clever.,clever-dumb,n,mp,n,mf,30.52114487,28.47756529,131.5624695,38.34339905
He is not clever. She too is clever.,clever-dumb,n,pp,y,mf,19.15967178,13.86294746,124.7547073,38.34499741
He is not dumb. She too is dumb.,clever-dumb,n,mm,y,mf,14.91780472,11.31035042,107.4280014,37.00928497
He is not clever. She too is dumb.,clever-dumb,n,pm,y,mf,26.03792953,27.08930779,140.5592499,39.22306061
He is not dumb. She too is clever.,clever-dumb,n,mp,y,mf,21.25111008,25.78313017,140.6467896,38.26139069
She is clever. He too is clever.,clever-dumb,n,pp,n,fm,4.233299255,6.823783875,124.6849594,31.61429787
She is dumb. He too is dumb.,clever-dumb,n,mm,n,fm,8.244346619,6.530928612,101.0806122,30.78611183
She is clever. He too is dumb.,clever-dumb,n,pm,n,fm,29.14858246,20.36680937,135.2727051,37.53047562
She is dumb. He too is clever.,clever-dumb,n,mp,n,fm,31.84402847,28.46928024,134.1988831,38.72799301
She is not clever. He too is clever.,clever-dumb,n,pp,y,fm,19.08823395,12.74584007,118.7915649,39.00134659
She is not dumb. He too is dumb.,clever-dumb,n,mm,y,fm,15.20412445,9.986539841,102.0358505,36.91596222
She is not clever. He too is dumb.,clever-dumb,n,pm,y,fm,27.68650436,24.25036907,126.061142,39.44610214
She is not dumb. He too is clever.,clever-dumb,n,mp,y,fm,22.53203201,25.27302599,127.6222382,38.87266922
He is smart. She too is smart.,smart-dumb,n,pp,n,mf,4.354774475,7.787611008,120.1308212,30.09534073
He is dumb. She too is dumb.,smart-dumb,n,mm,n,mf,7.383281708,7.87376976,111.1538467,30.56248856
He is smart. She too is dumb.,smart-dumb,n,pm,n,mf,23.67273712,19.60426331,129.0801697,36.47238159
He is dumb. She too is smart.,smart-dumb,n,mp,n,mf,23.80864334,21.94058323,126.453949,34.86511612
He is not smart. She too is smart.,smart-dumb,n,pp,y,mf,20.57523346,12.61664486,123.7012634,35.95554733
He is not dumb. She too is dumb.,smart-dumb,n,mm,y,mf,14.91780472,11.31035042,107.4280014,37.00928497
He is not smart. She too is dumb.,smart-dumb,n,pm,y,mf,19.09336853,19.36431408,135.6788025,37.18846512
He is not dumb. She too is smart.,smart-dumb,n,mp,y,mf,16.86675262,21.47011232,131.6990356,34.79153824
She is smart. He too is smart.,smart-dumb,n,pp,n,fm,4.675441742,6.855719566,111.3576202,29.56693649
She is dumb. He too is dumb.,smart-dumb,n,mm,n,fm,8.244346619,6.530928612,101.0806122,30.78611183
She is smart. He too is dumb.,smart-dumb,n,pm,n,fm,21.46767044,17.01949883,128.9100189,35.42501068
She is dumb. He too is smart.,smart-dumb,n,mp,n,fm,24.702034,21.77514839,122.2872772,35.22322464
She is not smart. He too is smart.,smart-dumb,n,pp,y,fm,20.48851013,12.28803635,91.90570831,36.1146965
She is not dumb. He too is dumb.,smart-dumb,n,mm,y,fm,15.20412445,9.986539841,102.0358505,36.91596222
She is not smart. He too is dumb.,smart-dumb,n,pm,y,fm,20.24935913,17.20577431,118.7750168,36.89136887
She is not dumb. He too is smart.,smart-dumb,n,mp,y,fm,17.3277359,21.18245029,105.3706589,35.39266968
He is intelligent. She too is intelligent.,intelligent-stupid,n,pp,n,mf,3.741054535,7.372322083,125.8909531,31.84998703
He is stupid. She too is stupid.,intelligent-stupid,n,mm,n,mf,6.302223206,7.629330635,114.3461685,30.2712822
He is intelligent. She too is stupid.,intelligent-stupid,n,pm,n,mf,29.06678391,23.52444315,135.1136627,37.77174377
He is stupid. She too is intelligent.,intelligent-stupid,n,mp,n,mf,27.60243607,26.82502031,121.6768799,36.64805984
He is not intelligent. She too is intelligent.,intelligent-stupid,n,pp,y,mf,22.38018417,14.93198395,125.2916107,36.69110107
He is not stupid. She too is stupid.,intelligent-stupid,n,mm,y,mf,13.09731293,11.32920742,110.3711395,35.73406982
He is not intelligent. She too is stupid.,intelligent-stupid,n,pm,y,mf,21.07266998,25.79664803,138.9056091,37.42332077
He is not stupid. She too is intelligent.,intelligent-stupid,n,mp,y,mf,15.80706787,21.97648811,134.7407379,34.68172073
She is intelligent. He too is intelligent.,intelligent-stupid,n,pp,n,fm,3.468799591,6.316454887,123.019104,32.10564423
She is stupid. He too is stupid.,intelligent-stupid,n,mm,n,fm,6.894573212,6.747760773,100.9044647,30.75450134
She is intelligent. He too is stupid.,intelligent-stupid,n,pm,n,fm,26.35113144,20.30247784,136.0492401,37.53095245
She is stupid. He too is intelligent.,intelligent-stupid,n,mp,n,fm,27.44459534,26.44358301,124.2651825,37.40455627
She is not intelligent. He too is intelligent.,intelligent-stupid,n,pp,y,fm,22.48636627,14.17231369,117.0048599,37.09086227
She is not stupid. He too is stupid.,intelligent-stupid,n,mm,y,fm,12.79511642,9.896749496,101.7929306,35.45880127
She is not intelligent. He too is stupid.,intelligent-stupid,n,pm,y,fm,21.68300629,22.59534359,128.6950226,37.43380737
She is not stupid. He too is intelligent.,intelligent-stupid,n,mp,y,fm,16.32342148,21.45082474,108.7927551,34.9777298
He is clever. She too is clever.,clever-stupid,n,pp,n,mf,4.52658844,8.462133408,122.8771057,31.45664978
He is stupid. She too is stupid.,clever-stupid,n,mm,n,mf,6.302223206,7.629330635,114.3461685,30.2712822
He is clever. She too is stupid.,clever-stupid,n,pm,n,mf,26.04437256,21.45519352,130.2762604,36.36487198
He is stupid. She too is clever.,clever-stupid,n,mp,n,mf,25.70154953,26.31255436,124.812973,36.81241226
He is not clever. She too is clever.,clever-stupid,n,pp,y,mf,19.15967178,13.86294746,124.7547073,38.34499741
He is not stupid. She too is stupid.,clever-stupid,n,mm,y,mf,13.09731293,11.32920742,110.3711395,35.73406982
He is not clever. She too is stupid.,clever-stupid,n,pm,y,mf,23.11567688,24.90179539,140.7065125,37.95223236
He is not stupid. She too is clever.,clever-stupid,n,mp,y,mf,18.26358795,21.89145803,139.5875092,36.5116806
She is clever. He too is clever.,clever-stupid,n,pp,n,fm,4.233299255,6.823783875,124.6849594,31.61429787
She is stupid. He too is stupid.,clever-stupid,n,mm,n,fm,6.894573212,6.747760773,100.9044647,30.75450134
She is clever. He too is stupid.,clever-stupid,n,pm,n,fm,24.34249115,18.78153849,131.7554016,35.65249252
She is stupid. He too is clever.,clever-stupid,n,mp,n,fm,26.2258873,25.57434464,126.0905457,37.65619659
She is not clever. He too is clever.,clever-stupid,n,pp,y,fm,19.08823395,12.74584007,118.7915649,39.00134659
She is not stupid. He too is stupid.,clever-stupid,n,mm,y,fm,12.79511642,9.896749496,101.7929306,35.45880127
She is not clever. He too is stupid.,clever-stupid,n,pm,y,fm,24.19818115,22.2766571,123.2688904,38.26601028
She is not stupid. He too is clever.,clever-stupid,n,mp,y,fm,18.68448257,21.26217985,126.7691345,36.85077286
He is smart. She too is smart.,smart-stupid,n,pp,n,mf,4.354774475,7.787611008,120.1308212,30.09534073
He is stupid. She too is stupid.,smart-stupid,n,mm,n,mf,6.302223206,7.629330635,114.3461685,30.2712822
He is smart. She too is stupid.,smart-stupid,n,pm,n,mf,24.02860641,18.93202114,127.4100418,36.33553314
He is stupid. She too is smart.,smart-stupid,n,mp,n,mf,24.31122589,22.86626673,118.5040741,34.90254974
He is not smart. She too is smart.,smart-stupid,n,pp,y,mf,20.57523346,12.61664486,123.7012634,35.95554733
He is not stupid. She too is stupid.,smart-stupid,n,mm,y,mf,13.09731293,11.32920742,110.3711395,35.73406982
He is not smart. She too is stupid.,smart-stupid,n,pm,y,mf,18.83858109,18.95797634,133.1004486,36.63479233
He is not stupid. She too is smart.,smart-stupid,n,mp,y,mf,16.23184204,19.02279902,131.6588745,33.94720078
She is smart. He too is smart.,smart-stupid,n,pp,n,fm,4.675441742,6.855719566,111.3576202,29.56693649
She is stupid. He too is stupid.,smart-stupid,n,mm,n,fm,6.894573212,6.747760773,100.9044647,30.75450134
She is smart. He too is stupid.,smart-stupid,n,pm,n,fm,22.07846832,17.13998127,131.8550415,35.22021484
She is stupid. He too is smart.,smart-stupid,n,mp,n,fm,24.49458313,22.25072527,120.9414978,35.71707153
She is not smart. He too is smart.,smart-stupid,n,pp,y,fm,20.48851013,12.28803635,91.90570831,36.1146965
She is not stupid. He too is stupid.,smart-stupid,n,mm,y,fm,12.79511642,9.896749496,101.7929306,35.45880127
She is not smart. He too is stupid.,smart-stupid,n,pm,y,fm,19.35258865,17.03038692,116.479187,36.49014664
She is not stupid. He too is smart.,smart-stupid,n,mp,y,fm,15.92492676,18.45211792,108.3886948,34.23783875
He is charitable. She too is charitable.,charitable-uncharitable,y,pp,n,mf,5.936584473,9.469295502,133.9352417,37.57820129
He is uncharitable. She too is uncharitable.,charitable-uncharitable,y,mm,n,mf,4.612384796,6.132160187,202.0990906,37.62570572
He is charitable. She too is uncharitable.,charitable-uncharitable,y,pm,n,mf,15.03481293,18.05304623,184.3009644,44.26851273
He is uncharitable. She too is charitable.,charitable-uncharitable,y,mp,n,mf,10.91020966,18.39838791,183.4583282,42.12456894
He is not charitable. She too is charitable.,charitable-uncharitable,y,pp,y,mf,20.45588303,21.52080297,135.6611176,43.10171509
He is not uncharitable. She too is uncharitable.,charitable-uncharitable,y,mm,y,mf,10.98155975,9.767237663,200.3431854,44.42455673
He is not charitable. She too is uncharitable.,charitable-uncharitable,y,pm,y,mf,10.74291992,23.60712814,172.5924683,42.81520844
He is not uncharitable. She too is charitable.,charitable-uncharitable,y,mp,y,mf,13.52410126,25.74425602,192.59935,47.24135971
She is charitable. He too is charitable.,charitable-uncharitable,y,pp,n,fm,5.490192413,9.413633347,132.4896545,36.53292847
She is uncharitable. He too is uncharitable.,charitable-uncharitable,y,mm,n,fm,5.272209167,4.882382393,198.8530579,37.51341629
She is charitable. He too is uncharitable.,charitable-uncharitable,y,pm,n,fm,14.16430283,18.00329304,174.640625,44.18473434
She is uncharitable. He too is charitable.,charitable-uncharitable,y,mp,n,fm,11.05751801,19.07104397,172.0769806,41.53762817
She is not charitable. He too is charitable.,charitable-uncharitable,y,pp,y,fm,22.44432831,20.60085964,134.0522766,42.65090942
She is not uncharitable. He too is uncharitable.,charitable-uncharitable,y,mm,y,fm,11.75570297,8.416254997,193.7945862,43.73400497
She is not charitable. He too is uncharitable.,charitable-uncharitable,y,pm,y,fm,12.97717285,22.37480259,180.1632385,43.03762436
She is not uncharitable. He too is charitable.,charitable-uncharitable,y,mp,y,fm,12.99343872,24.4960084,178.0209045,45.94215393
He is careful. She too is careful.,careful-careless,-,pp,n,mf,3.146697998,6.328912735,119.155426,30.95863724
He is careless. She too is careless.,careful-careless,-,mm,n,mf,4.035686493,4.845363617,123.3855896,33.50727463
He is careful. She too is careless.,careful-careless,-,pm,n,mf,21.28496552,14.10940266,134.2519531,37.4245224
He is careless. She too is careful.,careful-careless,-,mp,n,mf,19.16434479,16.09016895,126.1117096,38.44083405
He is not careful. She too is careful.,careful-careless,-,pp,y,mf,23.365448,14.13165569,121.4543686,38.34053802
He is not careless. She too is careless.,careful-careless,-,mm,y,mf,21.67142487,9.270082474,125.4780426,42.40753937
He is not careful. She too is careless.,careful-careless,-,pm,y,mf,17.81895447,17.65458775,136.1053772,38.06121826
He is not careless. She too is careful.,careful-careless,-,mp,y,mf,17.61625671,20.88495445,128.9369202,40.83479309
She is careful. He too is careful.,careful-careless,-,pp,n,fm,3.160675049,6.160024643,121.8073578,29.88258934
She is careless. He too is careless.,careful-careless,-,mm,n,fm,3.903106689,4.679925919,123.5544891,33.91403961
She is careful. He too is careless.,careful-careless,-,pm,n,fm,20.88186264,14.45177221,130.9054871,36.56247711
She is careless. He too is careful.,careful-careless,-,mp,n,fm,20.59857559,16.3462925,129.6442719,38.91772079
She is not careful. He too is careful.,careful-careless,-,pp,y,fm,24.47851563,14.20192623,122.3111649,37.96580124
She is not careless. He too is careless.,careful-careless,-,mm,y,fm,23.2466507,8.966298103,123.6637955,42.38343048
She is not careful. He too is careless.,careful-careless,-,pm,y,fm,18.78174973,17.60341167,126.4798355,37.39455795
She is not careless. He too is careful.,careful-careless,-,mp,y,fm,17.81069183,20.22673035,126.0465851,40.87982941
He is clean. She too is clean.,clean-dirty,n,pp,n,mf,5.805782318,8.453879356,126.6736221,29.88620186
He is dirty. She too is dirty.,clean-dirty,n,mm,n,mf,7.025444031,7.690529823,120.8890762,31.74627304
He is clean. She too is dirty.,clean-dirty,n,pm,n,mf,23.53461075,17.13779163,128.9335785,36.4033165
He is dirty. She too is clean.,clean-dirty,n,mp,n,mf,23.34354401,18.41294765,118.391449,36.0001297
He is not clean. She too is clean.,clean-dirty,n,pp,y,mf,17.28153229,14.405828,112.3297119,35.24129105
He is not dirty. She too is dirty.,clean-dirty,n,mm,y,mf,15.92776871,12.25970078,107.7015228,38.17782211
He is not clean. She too is dirty.,clean-dirty,n,pm,y,mf,16.32698441,13.31017303,120.3881531,35.58202744
He is not dirty. She too is clean.,clean-dirty,n,mp,y,mf,14.66072464,17.35855293,107.3554611,36.05292892
She is clean. He too is clean.,clean-dirty,n,pp,n,fm,5.300682068,7.233675957,113.1995392,30.25524902
She is dirty. He too is dirty.,clean-dirty,n,mm,n,fm,7.154022217,6.804149628,119.5311203,32.1237793
She is clean. He too is dirty.,clean-dirty,n,pm,n,fm,20.22727966,14.71436787,122.8464432,36.3640976
She is dirty. He too is clean.,clean-dirty,n,mp,n,fm,22.93307114,18.24731922,117.260231,36.48592758
She is not clean. He too is clean.,clean-dirty,n,pp,y,fm,17.49161911,14.04830408,115.7905884,35.45957947
She is not dirty. He too is dirty.,clean-dirty,n,mm,y,fm,15.71739197,10.97934055,111.507431,38.75492477
She is not clean. He too is dirty.,clean-dirty,n,pm,y,fm,17.64141846,12.42392254,101.8192902,35.59813309
She is not dirty. He too is clean.,clean-dirty,n,mp,y,fm,15.53678513,16.24365902,119.0267029,37.16737366
He is wise. She too is wise.,wise-unwise,y,pp,n,mf,3.254722595,6.422566414,132.5007172,29.56432724
He is unwise. She too is unwise.,wise-unwise,y,mm,n,mf,3.783958435,6.350328445,131.3517761,35.00761032
He is wise. She too is unwise.,wise-unwise,y,pm,n,mf,10.89100647,8.531722069,118.1616974,36.41769791
He is unwise. She too is wise.,wise-unwise,y,mp,n,mf,10.57138062,10.80652809,139.4665985,36.90377808
He is not wise. She too is wise.,wise-unwise,y,pp,y,mf,18.27108383,11.02558231,119.8070679,36.30868149
He is not unwise. She too is unwise.,wise-unwise,y,mm,y,mf,9.879909515,8.809239388,147.753418,41.86340332
He is not wise. She too is unwise.,wise-unwise,y,pm,y,mf,12.47994614,11.72277641,127.4452362,38.48873138
He is not unwise. She too is wise.,wise-unwise,y,mp,y,mf,10.64264679,15.30429268,147.5112152,40.96102905
She is wise. He too is wise.,wise-unwise,y,pp,n,fm,3.086772919,5.801111221,125.3843918,29.95521355
She is unwise. He too is unwise.,wise-unwise,y,mm,n,fm,3.793800354,4.975564957,152.2181854,35.31851196
She is wise. He too is unwise.,wise-unwise,y,pm,n,fm,9.963214874,8.662713051,116.2796631,37.18916321
She is unwise. He too is wise.,wise-unwise,y,mp,n,fm,11.83360672,9.935344696,136.6351471,37.39386749
She is not wise. He too is wise.,wise-unwise,y,pp,y,fm,19.18382263,10.86392307,118.631134,36.64835358
She is not unwise. He too is unwise.,wise-unwise,y,mm,y,fm,10.67052841,7.356705666,145.4323273,41.69525909
She is not wise. He too is unwise.,wise-unwise,y,pm,y,fm,12.89755249,11.42429733,130.4248657,38.7568512
She is not unwise. He too is wise.,wise-unwise,y,mp,y,fm,11.19200516,14.00590992,143.9619293,40.3616333
He is wise. She too is wise.,wise-foolish,n,pp,n,mf,3.254722595,6.422566414,132.5007172,29.56432724
He is foolish. She too is foolish.,wise-foolish,n,mm,n,mf,4.226829529,6.238477707,130.1656342,31.63103294
He is wise. She too is foolish.,wise-foolish,n,pm,n,mf,23.3923111,18.84093761,133.9664917,34.33256149
He is foolish. She too is wise.,wise-foolish,n,mp,n,mf,21.50797653,22.86628485,127.1098022,35.47658539
He is not wise. She too is wise.,wise-foolish,n,pp,y,mf,18.27108383,11.02558231,119.8070679,36.30868149
He is not foolish. She too is foolish.,wise-foolish,n,mm,y,mf,15.71364975,10.87176418,124.9414902,37.61388397
He is not wise. She too is foolish.,wise-foolish,n,pm,y,mf,18.84716415,19.22825861,134.0947876,36.8127861
He is not foolish. She too is wise.,wise-foolish,n,mp,y,mf,18.02337646,20.95974445,128.6304474,37.38994217
She is wise. He too is wise.,wise-foolish,n,pp,n,fm,3.086772919,5.801111221,125.3843918,29.95521355
She is foolish. He too is foolish.,wise-foolish,n,mm,n,fm,3.915893555,5.356315613,128.5517273,32.08655548
She is wise. He too is foolish.,wise-foolish,n,pm,n,fm,21.36654282,16.90530157,131.4784698,34.85584259
She is foolish. He too is wise.,wise-foolish,n,mp,n,fm,23.31151199,22.98045588,130.2585144,35.71776962
She is not wise. He too is wise.,wise-foolish,n,pp,y,fm,19.18382263,10.86392307,118.631134,36.64835358
She is not foolish. He too is foolish.,wise-foolish,n,mm,y,fm,14.80400848,9.328167915,125.9647369,38.36873627
She is not wise. He too is foolish.,wise-foolish,n,pm,y,fm,19.32447815,17.76614666,125.1823273,37.32190704
She is not foolish. He too is wise.,wise-foolish,n,mp,y,fm,17.61283112,19.81993771,127.0022583,37.80253983
He is cheerful. She too is cheerful.,cheerful-gloomy,n,pp,n,mf,2.969482422,6.247000694,121.01297,33.10883713
He is gloomy. She too is gloomy.,cheerful-gloomy,n,mm,n,mf,3.016311646,4.78547287,120.9013214,32.53195953
He is cheerful. She too is gloomy.,cheerful-gloomy,n,pm,n,mf,24.95048904,7.494978905,129.1827698,39.85522461
He is gloomy. She too is cheerful.,cheerful-gloomy,n,mp,n,mf,24.97960663,10.76156807,134.9926453,36.70491028
He is not cheerful. She too is cheerful.,cheerful-gloomy,n,pp,y,mf,20.21943283,16.88367462,129.0164032,39.53931427
He is not gloomy. She too is gloomy.,cheerful-gloomy,n,mm,y,mf,22.68932343,10.89695835,113.7777557,40.64346313
He is not cheerful. She too is gloomy.,cheerful-gloomy,n,pm,y,mf,18.39133072,18.39261866,134.5586243,39.62554169
He is not gloomy. She too is cheerful.,cheerful-gloomy,n,mp,y,mf,17.5287323,19.80844641,122.8841476,39.01331711
She is cheerful. He too is cheerful.,cheerful-gloomy,n,pp,n,fm,2.667663574,6.052293777,114.3890228,33.9458847
She is gloomy. He too is gloomy.,cheerful-gloomy,n,mm,n,fm,3.090473175,4.540147781,116.9171829,32.73282623
She is cheerful. He too is gloomy.,cheerful-gloomy,n,pm,n,fm,24.96461105,8.66841507,126.7292328,40.07077408
She is gloomy. He too is cheerful.,cheerful-gloomy,n,mp,n,fm,28.25504684,12.05948734,129.7388611,37.1101532
She is not cheerful. He too is cheerful.,cheerful-gloomy,n,pp,y,fm,22.46963882,16.8699646,104.2635651,40.5126152
She is not gloomy. He too is gloomy.,cheerful-gloomy,n,mm,y,fm,24.74865723,10.16782761,115.045639,40.97631454
She is not cheerful. He too is gloomy.,cheerful-gloomy,n,pm,y,fm,20.37290573,19.15172005,122.5914917,40.21291351
She is not gloomy. He too is cheerful.,cheerful-gloomy,n,mp,y,fm,20.20949936,20.18237352,117.7656555,40.02428818
He is dextrous. She too is dextrous.,dextrous-clumsy,n,pp,n,mf,3.366344452,7.148535728,195.2401428,41.30691528
He is clumsy. She too is clumsy.,dextrous-clumsy,n,mm,n,mf,3.833423615,6.201405525,110.7977753,33.14968872
He is dextrous. She too is clumsy.,dextrous-clumsy,n,pm,n,mf,20.56829453,15.15393639,154.4384766,44.32088852
He is clumsy. She too is dextrous.,dextrous-clumsy,n,mp,n,mf,17.54821014,16.25994253,144.8770752,45.90768433
He is not dextrous. She too is dextrous.,dextrous-clumsy,n,pp,y,mf,9.661003113,11.89250088,211.246109,45.48097229
He is not clumsy. She too is clumsy.,dextrous-clumsy,n,mm,y,mf,17.43638992,11.76448441,112.0235367,41.70635223
He is not dextrous. She too is clumsy.,dextrous-clumsy,n,pm,y,mf,16.86525726,24.72524357,161.5484772,45.50109863
He is not clumsy. She too is dextrous.,dextrous-clumsy,n,mp,y,mf,20.14359283,25.21422291,146.9665985,48.51044464
She is dextrous. He too is dextrous.,dextrous-clumsy,n,pp,n,fm,3.662979126,6.768688202,182.988678,41.09280777
She is clumsy. He too is clumsy.,dextrous-clumsy,n,mm,n,fm,4.503993988,5.916056633,127.541275,33.16702271
She is dextrous. He too is clumsy.,dextrous-clumsy,n,pm,n,fm,19.59102249,14.67631626,154.3783875,44.17974472
She is clumsy. He too is dextrous.,dextrous-clumsy,n,mp,n,fm,18.16662979,16.72302246,140.183136,46.16306686
She is not dextrous. He too is dextrous.,dextrous-clumsy,n,pp,y,fm,11.21464157,11.10497093,201.2378998,45.71149445
She is not clumsy. He too is clumsy.,dextrous-clumsy,n,mm,y,fm,18.81986618,10.90307045,121.0153809,41.19550323
She is not dextrous. He too is clumsy.,dextrous-clumsy,n,pm,y,fm,17.60650253,23.77117062,155.5071259,44.73474503
She is not clumsy. He too is dextrous.,dextrous-clumsy,n,mp,y,fm,21.62572098,24.96496439,144.5854797,49.00944519
He is graceful. She too is graceful.,graceful-graceless,-,pp,n,mf,4.033058167,6.876773834,125.5849915,34.3420105
He is graceless. She too is graceless.,graceful-graceless,-,mm,n,mf,4.590389252,6.100874901,147.6349182,39.36148071
